                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.90573,                 1.0735,                 1.3601,                0.79793,                0.53806,                0.67439,                0.47035,                 1.1323,                 1.2418,                 1.5592,             0.00054245,             0.00054245,             0.00054245
                     49,                0.89085,                 1.0146,                 1.3443,                 0.7247,                0.58423,                0.65525,                0.47129,                 1.1195,                 1.2818,                 1.5571,             0.00052359,             0.00052359,             0.00052359
                     50,                0.87926,                 1.0224,                 1.3378,                0.74031,                0.58419,                0.67341,                0.47518,                 1.1414,                 1.2337,                 1.5819,             0.00050472,             0.00050472,             0.00050472
                     51,                0.86749,                 1.0015,                 1.3255,                0.83806,                0.55563,                0.68569,                0.46932,                 1.1602,                 1.2063,                 1.5935,             0.00048586,             0.00048586,             0.00048586
                     52,                0.86044,                0.98552,                 1.3193,                0.73785,                0.59006,                0.67354,                0.47339,                 1.1112,                 1.2444,                 1.5482,               0.000467,               0.000467,               0.000467
                     53,                 0.8517,                0.95224,                 1.3061,                0.74995,                0.61545,                0.69417,                0.48182,                 1.1702,                 1.2106,                 1.5965,             0.00044813,             0.00044813,             0.00044813
                     54,                0.84998,                0.96049,                 1.3159,                0.78883,                0.57339,                 0.6775,                0.48203,                 1.1196,                 1.2182,                 1.5519,             0.00042927,             0.00042927,             0.00042927
                     55,                0.84274,                0.94306,                 1.3022,                0.76625,                0.59194,                0.68358,                0.49104,                 1.1136,                 1.2331,                 1.5737,             0.00041041,             0.00041041,             0.00041041
                     56,                 0.8227,                0.92114,                  1.291,                0.76606,                0.60177,                0.68181,                0.47986,                 1.1205,                 1.2214,                 1.5885,             0.00039155,             0.00039155,             0.00039155
                     57,                0.82453,                0.93032,                 1.2932,                0.79619,                0.58979,                0.68217,                 0.4842,                 1.1095,                 1.2149,                 1.5686,             0.00037268,             0.00037268,             0.00037268
                     58,                0.80848,                0.89213,                 1.2759,                0.81739,                0.56661,                0.68967,                0.48564,                 1.1059,                 1.1725,                 1.5725,             0.00035382,             0.00035382,             0.00035382
                     59,                0.80041,                0.88588,                 1.2757,                0.72646,                0.61429,                0.68486,                 0.4878,                 1.0966,                 1.1738,                 1.5292,             0.00033496,             0.00033496,             0.00033496
                     60,                0.78683,                0.86076,                 1.2639,                0.78138,                0.61134,                0.70696,                0.50413,                 1.1164,                 1.1969,                 1.5672,             0.00031609,             0.00031609,             0.00031609
                     61,                  0.782,                0.85343,                 1.2639,                0.82488,                0.58708,                0.70036,                0.50201,                 1.1235,                 1.2422,                 1.5712,             0.00029723,             0.00029723,             0.00029723
                     62,                0.78008,                0.85159,                 1.2652,                0.80098,                0.61005,                0.71484,                0.49961,                 1.1226,                 1.1879,                 1.5872,             0.00027837,             0.00027837,             0.00027837
                     63,                0.77871,                0.84658,                 1.2579,                0.74565,                0.61681,                0.69858,                0.50296,                 1.1235,                 1.2021,                 1.5705,             0.00025951,             0.00025951,             0.00025951
                     64,                0.76592,                0.81798,                  1.247,                0.70543,                0.63387,                0.70049,                0.50755,                 1.1071,                 1.2062,                 1.5526,             0.00024064,             0.00024064,             0.00024064
                     65,                0.77306,                0.82158,                 1.2533,                0.73997,                0.63232,                0.70856,                0.51282,                 1.0857,                 1.1766,                 1.5426,             0.00022178,             0.00022178,             0.00022178
                     66,                0.69445,                 0.5307,                  1.228,                0.77912,                0.61095,                0.70113,                0.51418,                 1.0842,                 1.1798,                 1.5409,             0.00020292,             0.00020292,             0.00020292
                     67,                0.66959,                 0.4924,                 1.2045,                0.76826,                 0.6209,                0.70388,                0.50774,                 1.0869,                 1.1973,                 1.5395,             0.00018406,             0.00018406,             0.00018406
                     68,                0.65117,                0.47196,                 1.1947,                 0.7248,                0.62965,                0.69516,                0.50311,                 1.0764,                 1.1819,                 1.5331,             0.00016519,             0.00016519,             0.00016519
                     69,                0.62837,                0.44943,                 1.1767,                0.79684,                0.62541,                 0.7074,                0.51202,                 1.1028,                 1.1964,                 1.5641,             0.00014633,             0.00014633,             0.00014633
                     70,                 0.6148,                0.43918,                  1.171,                 0.7864,                0.61142,                0.70586,                0.51406,                 1.0836,                 1.2006,                 1.5475,             0.00012747,             0.00012747,             0.00012747
                     71,                 0.6175,                 0.4425,                 1.1668,                0.81238,                0.60569,                0.70483,                0.51783,                 1.0862,                 1.2124,                 1.5603,              0.0001086,              0.0001086,              0.0001086
                     72,                0.59662,                0.42507,                 1.1523,                0.82192,                0.60469,                0.69834,                0.51504,                 1.0937,                 1.2099,                 1.5619,             8.9741e-05,             8.9741e-05,             8.9741e-05
                     73,                0.59215,                 0.4128,                 1.1481,                0.76152,                0.63288,                0.70057,                0.51721,                 1.0786,                  1.231,                 1.5393,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     74,                0.58023,                0.40035,                 1.1363,                0.71946,                0.65889,                0.69788,                  0.519,                 1.0853,                 1.2305,                 1.5451,             5.2016e-05,             5.2016e-05,             5.2016e-05
                     75,                 0.5746,                0.40058,                  1.128,                0.73321,                0.64624,                0.69833,                0.51603,                 1.0802,                 1.2057,                 1.5478,             3.3153e-05,             3.3153e-05,             3.3153e-05
