                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 0.4388,                0.86405,                0.58025,                0.97122,                0.80738,                0.68985,                0.74426,                0.62002,                0.76032,                0.64493,                0.69353,                0.52118,                0.72221,                  1.425,                 1.0473,                 1.2276,             0.00052359,             0.00052359,             0.00052359
                     50,                 0.4241,                0.82779,                 0.5731,                0.96278,                0.82351,                0.67642,                0.74822,                0.61504,                 0.8169,                0.65687,                0.71638,                0.52053,                0.72011,                 1.4914,                 1.0561,                  1.243,             0.00050472,             0.00050472,             0.00050472
                     51,                 0.4243,                  0.831,                 0.5672,                0.95624,                 0.8155,                0.67458,                0.75007,                0.62863,                0.78973,                0.64546,                0.70849,                0.52769,                0.71889,                  1.479,                 1.0245,                 1.2244,             0.00048586,             0.00048586,             0.00048586
                     52,                0.42251,                0.83709,                0.56068,                0.96166,                0.83325,                0.66472,                0.74039,                0.61532,                0.81449,                0.65038,                0.70909,                0.53385,                0.75008,                 1.4721,                 1.0665,                 1.2624,               0.000467,               0.000467,               0.000467
                     53,                0.41339,                0.80857,                0.54118,                 0.9565,                0.79469,                0.65387,                0.73823,                0.61248,                0.80656,                0.62339,                0.70135,                0.52059,                0.72551,                 1.4377,                 1.0492,                 1.2401,             0.00044813,             0.00044813,             0.00044813
                     54,                0.40876,                0.79784,                 0.5426,                0.95216,                0.76607,                0.69754,                0.75448,                 0.6233,                0.84685,                0.62137,                0.72237,                0.53443,                0.72881,                 1.4542,                 1.0702,                 1.2281,             0.00042927,             0.00042927,             0.00042927
                     55,                0.40586,                0.80478,                0.53202,                0.94847,                0.84526,                0.66759,                0.75476,                0.64324,                0.84024,                0.63764,                0.71101,                0.54429,                0.69174,                 1.4062,                0.98667,                 1.2031,             0.00041041,             0.00041041,             0.00041041
                     56,                0.39351,                0.75583,                0.50765,                0.94208,                0.78537,                0.67567,                0.75504,                0.63113,                0.83514,                0.62517,                0.71484,                0.54554,                0.69493,                 1.4187,                 1.0106,                 1.2134,             0.00039155,             0.00039155,             0.00039155
                     57,                0.40504,                0.77894,                0.51886,                0.94861,                0.83925,                0.64759,                0.75172,                0.62951,                0.85303,                0.62028,                0.71508,                0.54171,                0.69572,                 1.3962,                 1.0175,                 1.2204,             0.00037268,             0.00037268,             0.00037268
                     58,                0.39844,                 0.7785,                0.50509,                0.94292,                 0.7992,                0.69385,                0.74272,                0.62781,                0.79489,                0.66774,                0.71143,                0.54403,                0.69117,                 1.3959,                 1.0217,                 1.2102,             0.00035382,             0.00035382,             0.00035382
                     59,                0.38219,                0.73564,                0.49616,                 0.9381,                0.82244,                0.66561,                0.73727,                0.61622,                0.81233,                0.63533,                0.69617,                0.52903,                0.69209,                 1.4106,                  1.077,                  1.209,             0.00033496,             0.00033496,             0.00033496
                     60,                0.38526,                0.76536,                0.49724,                0.94403,                 0.8331,                0.68044,                0.74503,                0.62731,                0.81736,                0.65701,                0.70934,                0.53242,                0.71491,                 1.4204,                  1.015,                  1.229,             0.00031609,             0.00031609,             0.00031609
                     61,                0.38654,                 0.7545,                0.48226,                0.94362,                0.79087,                0.68871,                 0.7537,                0.63638,                0.81906,                0.64101,                0.71167,                 0.5471,                0.69177,                 1.4001,                 1.0317,                    1.2,             0.00029723,             0.00029723,             0.00029723
